2019-06-20 11:08:38.292 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$592590fe] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-20 11:08:38.912 [main] INFO  c.i.z.eureka_common.EurekaCommonApplicationTests - No active profile set, falling back to default profiles: default
2019-06-20 11:08:38.918 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7be58f16: startup date [Thu Jun 20 11:08:38 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6853425f
2019-06-20 11:08:39.965 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=0e3a8cc3-1eb7-3c4a-a3eb-7a66fd5ab021
2019-06-20 11:08:40.040 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2019-06-20 11:08:40.199 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$592590fe] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-06-20 11:08:40.712 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-06-20 11:08:40.713 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-06-20 11:08:40.722 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2019-06-20 11:08:40.723 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-06-20 11:08:40.890 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-06-20 11:08:41.307 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@7be58f16: startup date [Thu Jun 20 11:08:38 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6853425f
2019-06-20 11:08:41.417 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-06-20 11:08:41.419 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-06-20 11:08:41.464 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-06-20 11:08:41.464 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-06-20 11:08:43.168 [main] INFO  o.s.context.support.DefaultLifecycleProcessor - Starting beans in phase 0
2019-06-20 11:08:43.176 [main] INFO  c.i.z.eureka_common.EurekaCommonApplicationTests - Started EurekaCommonApplicationTests in 6.719 seconds (JVM running for 8.12)
2019-06-20 11:08:43.596 [Thread-5] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@7be58f16: startup date [Thu Jun 20 11:08:38 CST 2019]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@6853425f
2019-06-20 11:08:43.609 [Thread-5] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2019-06-20 11:08:43.615 [Thread-5] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Unregistering application eureka-common with eureka with status DOWN
2019-06-20 11:08:43.617 [Thread-5] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2019-06-20 11:08:43.708 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2019-06-20 11:08:44.210 [Thread-5] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2019-06-20 11:08:44.211 [Thread-5] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2019-06-20 11:08:44.408 [Thread-5] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2019-06-20 11:08:44.409 [Thread-5] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2019-06-20 11:08:44.691 [Thread-5] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-06-20 11:08:44.905 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2019-06-20 11:08:44.905 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2019-06-20 11:08:44.905 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2019-06-20 11:08:44.906 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2019-06-20 11:08:44.906 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2019-06-20 11:08:44.906 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2019-06-20 11:08:44.906 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2019-06-20 11:08:45.294 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2019-06-20 11:08:45.296 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2019-06-20 11:08:45.302 [Thread-5] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2019-06-20 11:08:45.307 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1561000125306 with initial instances count: 1
2019-06-20 11:08:45.311 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
2019-06-20 11:08:48.314 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Unregistering ...
2019-06-20 11:08:48.364 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_EUREKA-COMMON/DESKTOP-GFT4G5U:eureka-common:-1 - deregister  status: 404
2019-06-20 11:08:48.389 [Thread-5] INFO  com.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
